<<<<<<< HEAD
timestamp,cpu_usage,memory_usage,response_time,error_count,failure,root_cause,cpu_ma,memory_ma,response_ma,error_ma,cpu_std,memory_std,response_std,cpu_change,memory_change,response_change,error_change,cpu_lag1,cpu_lag2,memory_lag1,memory_lag2,response_lag1,response_lag2,error_lag1,error_lag2,anomaly_label,anomaly_score,failure_probability,predicted_failure,predicted_root_cause,alert_status,recommended_action,auto_resolution,resolution_playbook,resolution_confidence,can_auto_execute
2025-01-01 00:04:00,43.6,3.67,140.53,1,0,NORMAL,47.756,3.998,185.408,0.6,4.249215221661524,0.3265271811044219,49.7922541164788,-10.54,-0.4900000000000002,-115.73999999999998,0.0,54.14,48.89,4.16,4.3,256.27,156.52,1.0,0.0,0,0.18565294193205656,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:20:00,39.96,4.18,169.71,1,0,NORMAL,46.916,4.09,199.71,0.8,7.61234720700524,0.7046630400411263,54.7949774158181,-0.1899999999999977,0.3499999999999996,-64.94,0.0,40.15,58.14,3.83,3.87,234.65,133.07,1.0,0.0,0,0.18568620222588894,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:21:00,41.4,4.49,285.97,1,0,NORMAL,45.15,3.942,219.212,1.0,7.675304554218036,0.4292668167934716,65.99724100293902,1.4399999999999975,0.3100000000000005,116.26000000000002,0.0,39.96,40.15,4.18,3.83,169.71,234.65,1.0,1.0,0,0.1900016157776322,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:22:00,32.26,4.52,299.63,0,0,NORMAL,42.382,4.178,224.606,0.6,9.520788832864614,0.327978657842249,72.26242647462105,-9.14,0.0299999999999993,13.659999999999968,-1.0,41.4,39.96,4.49,4.18,285.97,169.71,1.0,1.0,0,0.16386974961828987,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:23:00,41.85,3.65,161.67,1,0,NORMAL,39.124,4.134,230.326,0.8,3.9203737066762927,0.3887544211967274,63.84736079118707,9.590000000000003,-0.8699999999999997,-137.96,1.0,32.26,41.4,4.52,4.49,299.63,285.97,0.0,1.0,0,0.15786345566291576,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:24:00,40.45,3.9,172.52,0,0,NORMAL,39.184000000000005,4.148000000000001,217.9,0.6,3.942236674782329,0.3761249792289828,68.65994319834537,-1.3999999999999986,0.25,10.850000000000025,-1.0,41.85,32.26,3.65,4.52,161.67,299.63,1.0,0.0,0,0.1608944708551176,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:25:00,45.9,4.17,242.98,0,0,NORMAL,40.372,4.146,232.554,0.4,4.990257508385624,0.3759388248106369,63.42275403985553,5.449999999999996,0.27,70.45999999999998,0.0,40.45,41.85,3.9,3.65,172.52,161.67,0.0,1.0,0,0.18418493378630751,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:26:00,47.05,3.85,180.64,0,0,NORMAL,41.502,4.018,211.488,0.2,5.847330159996044,0.3364074909986417,58.55060947590566,1.1499999999999986,-0.3199999999999998,-62.34,0.0,45.9,40.45,4.17,3.9,242.98,172.52,0.0,0.0,0,0.18747558654983282,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:27:00,56.26,4.96,197.73,1,0,NORMAL,46.302,4.106,191.108,0.4,6.203810925552173,0.512181608416392,31.84432398403233,9.21,1.11,17.090000000000003,1.0,47.05,45.9,3.85,4.17,180.64,242.98,0.0,0.0,0,0.18302501106427477,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:28:00,50.7,4.29,201.27,0,0,NORMAL,48.072,4.234,199.028,0.2,5.869554497574834,0.4453425647745831,27.291401026697315,-5.559999999999995,-0.6699999999999999,3.5400000000000205,-1.0,56.26,47.05,4.96,3.85,197.73,180.64,1.0,0.0,0,0.18321572475906445,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:29:00,41.54,4.44,104.02,1,0,NORMAL,48.29,4.3420000000000005,185.328,0.4,5.525875496245009,0.4080073528749267,50.90353199926325,-9.160000000000004,0.1500000000000003,-97.25,1.0,50.7,56.26,4.29,4.96,201.27,197.73,0.0,1.0,0,0.16720779078420328,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:30:00,39.61,4.4,199.31,3,0,NORMAL,47.032,4.388,176.594,1.0,6.779724920673456,0.3965728180296846,41.39748700102483,-1.93,-0.04,95.29,2.0,41.54,50.7,4.44,4.29,104.02,201.27,1.0,0.0,0,0.17641105693249826,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:31:00,47.95,4.7,165.51,1,0,NORMAL,47.212,4.558,173.568,1.2,6.792258092858424,0.270407100498502,41.58037181170967,8.340000000000003,0.2999999999999998,-33.80000000000001,-2.0,39.61,41.54,4.4,4.44,199.31,104.02,3.0,1.0,0,0.17831481568407154,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:32:00,37.08,4.11,175.34,3,0,NORMAL,43.376,4.388,169.09,1.6,5.739244723829073,0.2162637278879778,39.48032611314173,-10.870000000000005,-0.5899999999999999,9.830000000000013,2.0,47.95,39.61,4.7,4.4,165.51,199.31,1.0,3.0,0,0.16201082374690906,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:33:00,55.99,3.22,272.18,0,0,NORMAL,44.434,4.174,183.272,1.6,7.609712872375679,0.5728699677937421,60.87104130865529,18.910000000000004,-0.8900000000000001,96.84,-3.0,37.08,47.95,4.11,4.7,175.34,165.51,3.0,1.0,0,0.14497934279153557,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:34:00,52.08,4.24,137.17,3,0,NORMAL,46.542,4.134,189.902,2.0,8.054481361329268,0.5563991373106204,51.10250747272601,-3.910000000000004,1.02,-135.01000000000002,3.0,55.99,37.08,3.22,4.11,272.18,175.34,0.0,3.0,0,0.15087188266487273,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:35:00,42.18,3.61,240.66,1,0,NORMAL,47.056,3.976,198.172,1.6,7.568885651137867,0.5738728082075338,56.10651628821751,-9.9,-0.6300000000000003,103.49,-2.0,52.08,55.99,4.24,3.22,137.17,272.18,3.0,0.0,0,0.15935987684447378,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:36:00,34.72,3.68,186.05,0,0,NORMAL,44.41,3.7720000000000007,202.28,1.4,9.294127177954907,0.4100853569685201,53.82267877019887,-7.460000000000001,0.0700000000000002,-54.60999999999999,-1.0,42.18,52.08,3.61,4.24,240.66,137.17,1.0,3.0,0,0.16783590796387088,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:37:00,53.12,4.35,186.01,1,0,NORMAL,47.618,3.82,204.414,1.0,8.891035935142813,0.4693080012102914,52.68705372290252,18.4,0.6699999999999995,-0.0400000000000204,1.0,34.72,42.18,3.68,3.61,186.05,240.66,0.0,1.0,0,0.1632180340318763,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:38:00,44.31,4.74,239.52,1,0,NORMAL,45.282,4.1240000000000006,197.882,1.2,7.579084377416591,0.4757415264615883,43.38942232848943,-8.809999999999995,0.3900000000000005,53.51000000000002,0.0,53.12,34.72,4.35,3.68,186.01,186.05,1.0,0.0,0,0.18750805930228986,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:39:00,52.43,4.01,217.0,1,0,NORMAL,45.352,4.078,213.848,0.8,7.658764260636324,0.4728318940173153,27.09037227503555,8.119999999999997,-0.7300000000000004,-22.52000000000001,0.0,44.31,53.12,4.74,4.35,239.52,186.01,1.0,1.0,0,0.1926083967001126,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:40:00,35.43,4.19,228.53,0,0,NORMAL,44.002,4.194,211.422,0.6,8.85859300340635,0.3938654592624273,24.50919970133695,-17.0,0.1800000000000006,11.53,-1.0,52.43,44.31,4.01,4.74,217.0,239.52,1.0,1.0,0,0.16854904357265504,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:41:00,41.4,5.02,248.41,0,0,NORMAL,45.338,4.462,223.894,0.6,7.509811582190345,0.4121528842553515,24.23542510458635,5.969999999999999,0.8299999999999992,19.879999999999995,0.0,35.43,52.43,4.19,4.01,228.53,217.0,0.0,1.0,0,0.17521960070321413,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:42:00,45.03,4.14,183.43,0,0,NORMAL,43.720000000000006,4.42,223.378,0.4,6.165119625765575,0.4364057744805913,25.249900395843436,3.6300000000000026,-0.8799999999999999,-64.97999999999999,0.0,41.4,35.43,5.02,4.19,248.41,228.53,0.0,0.0,0,0.16954377216610061,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:43:00,45.28,5.56,169.39,0,0,NORMAL,43.914,4.584,209.352,0.2,6.203469190702887,0.6753739704785834,32.4835592261688,0.25,1.42,-14.04000000000002,0.0,45.03,41.4,4.14,5.02,183.43,248.41,0.0,0.0,0,0.16514383568090968,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:44:00,42.3,4.34,145.74,0,0,NORMAL,41.888,4.65,195.1,0.0,3.9840770574876463,0.6190315016216923,42.40614224378371,-2.980000000000004,-1.2199999999999998,-23.649999999999977,0.0,45.28,45.03,5.56,4.14,169.39,183.43,0.0,0.0,0,0.1619945729587967,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:45:00,48.74,2.94,158.73,1,0,NORMAL,44.55,4.4,181.14,0.2,2.885498223877484,0.9915644204992452,40.07470399142106,6.440000000000005,-1.4,12.98999999999998,1.0,42.3,45.28,4.34,5.56,145.74,169.39,0.0,0.0,0,0.14604304261489098,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:46:00,38.59,4.45,347.45,1,0,NORMAL,43.98800000000001,4.286,200.948,0.4,3.785639972316433,0.9335309314639784,83.06007837703993,-10.15,1.5100000000000002,188.72,0.0,48.74,42.3,2.94,4.34,158.73,145.74,1.0,0.0,0,0.14589886038545147,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:47:00,44.15,4.23,262.23,3,0,NORMAL,43.812,4.304,216.708,1.0,3.74532642102126,0.9308759315827234,86.31717917077698,5.559999999999995,-0.2199999999999997,-85.21999999999997,2.0,38.59,48.74,4.45,2.94,347.45,158.73,1.0,1.0,0,0.15825962186605985,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:48:00,45.72,4.77,132.45,0,0,NORMAL,43.9,4.146,209.32,1.0,3.793303309781586,0.7037257988733977,92.7228752789732,1.5700000000000005,0.5399999999999991,-129.78000000000003,-3.0,44.15,38.59,4.23,4.45,262.23,347.45,3.0,1.0,0,0.1622035705773922,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:49:00,48.09,4.4,133.88,1,0,NORMAL,45.05800000000001,4.158,206.948,1.2,4.057335332456538,0.7083572544980408,94.88252167812584,2.3700000000000045,-0.3699999999999992,1.4300000000000068,1.0,45.72,44.15,4.77,4.23,132.45,262.23,0.0,3.0,0,0.1797165192543631,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:50:00,49.27,3.92,224.09,0,0,NORMAL,45.164,4.354,220.02,1.0,4.182568588798064,0.3114963884220874,91.0017285550116,1.1799999999999995,-0.4800000000000004,90.21,-1.0,48.09,45.72,4.4,4.77,133.88,132.45,1.0,0.0,0,0.18342353833221064,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:51:00,38.25,3.27,227.36,0,0,NORMAL,45.096,4.118,196.002,0.8,4.316778891720101,0.5646857533177205,59.27986057675928,-11.020000000000003,-0.6499999999999999,3.2700000000000102,0.0,49.27,48.09,3.92,4.4,224.09,133.88,0.0,1.0,0,0.18461961853642622,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:52:00,35.8,3.87,227.44,0,0,NORMAL,43.426,4.046,189.044,0.2,6.043891958001884,0.5697631086688578,51.0307224130721,-2.450000000000003,0.6000000000000001,0.079999999999984,0.0,38.25,49.27,3.27,3.92,227.36,224.09,0.0,0.0,0,0.17609382431470533,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:53:00,52.67,3.49,187.25,0,0,NORMAL,44.816,3.79,200.004,0.2,7.359400790825309,0.434683793118628,40.67022289095571,16.870000000000005,-0.3799999999999999,-40.19,0.0,35.8,38.25,3.87,3.27,227.44,227.36,0.0,0.0,0,0.16088954690529794,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:54:00,46.99,3.65,193.73,1,0,NORMAL,44.596,3.64,211.974,0.2,7.252729141502537,0.2696293752542489,19.79168588069284,-5.68,0.1599999999999997,6.47999999999999,1.0,52.67,35.8,3.49,3.87,187.25,227.44,0.0,0.0,0,0.16629738142524886,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:55:00,40.51,4.35,216.39,1,0,NORMAL,42.844,3.726,210.43400000000003,0.4,6.890390409838884,0.4121650154974308,18.89238550316017,-6.480000000000004,0.6999999999999997,22.66,0.0,46.99,52.67,3.65,3.49,193.73,187.25,1.0,0.0,0,0.1796325302479641,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:56:00,54.31,5.0,204.29,0,0,NORMAL,46.056,4.072,205.82,0.4,7.88494641706591,0.611571745586731,16.37454732198777,13.800000000000004,0.6500000000000004,-12.099999999999994,-1.0,40.51,46.99,4.35,3.65,216.39,193.73,1.0,1.0,0,0.17662265434827168,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:57:00,45.69,4.24,89.03,1,0,NORMAL,48.034,4.146,178.138,0.6,5.569459578810234,0.6033489869055902,51.02332133446447,-8.620000000000005,-0.7599999999999998,-115.26,1.0,54.31,40.51,5.0,4.35,204.29,216.39,0.0,1.0,0,0.17970614055588924,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:58:00,52.08,3.28,188.51,2,0,NORMAL,47.916,4.104,178.39,1.0,5.451685977750464,0.6646277153414548,51.08265263276778,6.390000000000001,-0.9600000000000004,99.48,1.0,45.69,54.31,4.24,5.0,89.03,204.29,1.0,0.0,0,0.1722516004930913,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 06:59:00,45.41,4.27,157.43,1,0,NORMAL,47.6,4.228,171.13,1.0,5.56342520395493,0.6147113143582141,50.93676864505657,-6.670000000000002,0.9899999999999998,-31.079999999999984,-1.0,52.08,45.69,3.28,4.24,188.51,89.03,2.0,1.0,0,0.18539830878316677,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:00:00,57.36,4.72,208.76,1,0,NORMAL,50.97,4.3020000000000005,169.60399999999998,1.0,5.291781363586542,0.6540795058706578,49.3308309275246,11.950000000000005,0.4500000000000002,51.329999999999984,0.0,45.41,52.08,4.27,3.28,157.43,188.51,1.0,2.0,0,0.17229674074616058,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:01:00,55.53,3.63,349.26,1,0,NORMAL,51.214,4.0280000000000005,198.598,1.2,5.507996913579555,0.5701491033054433,95.66088944809168,-1.8299999999999983,-1.09,140.5,0.0,57.36,45.41,4.72,4.27,208.76,157.43,1.0,1.0,0,0.16535522577671746,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:02:00,43.51,3.92,218.37,3,0,NORMAL,50.778,3.964,224.466,1.6,6.108164208663826,0.5582383003700127,73.55956994164674,-12.020000000000003,0.29,-130.89,2.0,55.53,57.36,3.63,4.72,349.26,208.76,1.0,1.0,0,0.15854501424721973,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:03:00,50.83,4.01,184.32,2,0,NORMAL,50.528,4.11,223.628,1.6,6.066994313496735,0.4105484137102491,74.09351773266012,7.32,0.0899999999999998,-34.05000000000001,-1.0,43.51,55.53,3.92,3.63,218.37,349.26,3.0,1.0,0,0.16858811470760016,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:04:00,48.87,3.53,246.09,0,0,NORMAL,51.21999999999999,3.9620000000000006,241.36,1.4,5.508956343991292,0.4678354411542593,64.24493092843994,-1.9600000000000009,-0.48,61.77000000000001,-2.0,50.83,43.51,4.01,3.92,184.32,218.37,2.0,3.0,0,0.1753728763844361,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:05:00,53.21,4.39,224.13,0,0,NORMAL,50.39,3.896,244.43400000000003,1.2,4.588311236174119,0.3399705869630486,62.64285697507753,4.340000000000003,0.8599999999999999,-21.960000000000008,0.0,48.87,50.83,3.53,4.01,246.09,184.32,0.0,2.0,0,0.17731689600608713,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:06:00,39.21,3.93,221.0,1,0,NORMAL,47.126,3.956,218.782,1.2,5.690226709016155,0.306071886980821,22.17569998895232,-14.0,-0.4599999999999995,-3.1299999999999955,1.0,53.21,48.87,4.39,3.53,224.13,246.09,0.0,0.0,0,0.1745158219930164,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:07:00,49.12,4.25,230.34,1,0,NORMAL,48.248000000000005,4.022,221.176,0.8,5.34136873844159,0.3309380606699706,22.75855948868513,9.909999999999997,0.3199999999999998,9.340000000000003,0.0,39.21,53.21,3.93,4.39,221.0,224.13,1.0,0.0,0,0.18712917004446133,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:08:00,51.35,3.47,302.83,1,0,NORMAL,48.352,3.914,244.878,0.6,5.4088464574252,0.4136181814185639,33.80789508384129,2.230000000000004,-0.7799999999999998,72.48999999999998,0.0,49.12,39.21,4.25,3.93,230.34,221.0,1.0,1.0,0,0.18010516698718648,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:09:00,34.45,3.74,143.46,0,0,NORMAL,45.468,3.956,224.352,0.6,8.191954589717913,0.3736040685003315,56.45673892459624,-16.9,0.27,-159.36999999999998,-1.0,51.35,49.12,3.47,4.25,302.83,230.34,1.0,1.0,0,0.1665681992982912,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:10:00,37.9,4.43,223.68,2,0,NORMAL,42.40599999999999,3.964,224.262,1.0,7.397454291849296,0.3854607632431613,56.45753997474579,3.449999999999996,0.6899999999999995,80.22,2.0,34.45,51.35,3.74,3.47,143.46,302.83,0.0,1.0,0,0.16350161549192455,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:11:00,32.76,3.78,153.68,1,0,NORMAL,41.116,3.934,210.798,1.0,8.56445736751601,0.3944996831430923,64.83555521471239,-5.140000000000001,-0.6499999999999999,-70.0,-1.0,37.9,34.45,4.43,3.74,223.68,143.46,2.0,0.0,0,0.1583224347269177,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:12:00,43.38,5.04,227.78,1,0,NORMAL,39.968,4.0920000000000005,210.286,1.0,7.54771289862028,0.636608199758691,64.65250327713552,10.620000000000005,1.2600000000000002,74.1,0.0,32.76,37.9,3.78,4.43,153.68,223.68,1.0,2.0,0,0.16374102769569487,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:13:00,49.31,3.76,154.07,1,0,NORMAL,39.56,4.15,180.534,1.0,6.796370354829026,0.5761076288333647,41.50218042464781,5.93,-1.2800000000000002,-73.71000000000001,0.0,43.38,32.76,5.04,3.78,227.78,153.68,1.0,1.0,0,0.16547657837819707,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:14:00,54.01,4.13,179.13,0,0,NORMAL,43.472,4.228,187.668,1.0,8.528397856573049,0.5313849828514188,36.27238577761353,4.699999999999996,0.3700000000000001,25.06,-1.0,49.31,43.38,3.76,5.04,154.07,227.78,1.0,1.0,0,0.18444200081470274,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:15:00,45.44,4.56,185.25,0,0,NORMAL,44.98,4.254,179.982,0.6,7.943390334107984,0.546699186024639,30.31647027607304,-8.57,0.4299999999999997,6.1200000000000045,0.0,54.01,49.31,4.13,3.76,179.13,154.07,0.0,1.0,0,0.18904561104985723,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:16:00,54.77,3.15,248.79,2,0,NORMAL,49.382,4.127999999999999,199.004,0.8,5.050185145121037,0.7263401407054423,38.43799136271329,9.330000000000004,-1.4099999999999997,63.53999999999999,2.0,45.44,54.01,4.56,4.13,185.25,179.13,0.0,0.0,0,0.16825696255768696,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:17:00,36.72,2.94,245.92,0,0,NORMAL,48.05,3.708,202.632,0.6,7.373069238790646,0.6722871410342445,42.47692809043542,-18.050000000000004,-0.2099999999999999,-2.8700000000000045,-2.0,54.77,45.44,3.15,4.56,248.79,185.25,2.0,0.0,0,0.15621546548691823,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:18:00,34.78,3.08,137.71,0,0,NORMAL,45.144,3.572,199.36,0.4,9.350531000964608,0.7257892256020317,47.48743518026659,-1.9399999999999975,0.1400000000000001,-108.20999999999998,0.0,36.72,54.77,2.94,3.15,245.92,248.79,0.0,2.0,0,0.13533073559879,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:19:00,44.67,4.76,202.75,2,0,NORMAL,43.276,3.698,204.084,0.8,7.967140641409548,0.8842624044931447,46.127227100705085,9.89,1.6799999999999995,65.03999999999999,2.0,34.78,36.72,3.08,2.94,137.71,245.92,0.0,0.0,0,0.13000078176925878,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:20:00,47.3,3.67,164.52,1,0,NORMAL,43.648,3.5200000000000005,199.938,1.0,8.13509495949493,0.7461568199782111,49.08036338496304,2.6299999999999955,-1.09,-38.22999999999999,-1.0,44.67,34.78,4.76,3.08,202.75,137.71,2.0,0.0,0,0.1623386753712045,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:21:00,44.8,5.53,137.07,2,0,NORMAL,41.654,3.996,177.594,1.0,5.533243171956148,1.1177343154793098,46.6506273269719,-2.5,1.8600000000000003,-27.450000000000017,1.0,47.3,44.67,3.67,4.76,164.52,202.75,1.0,2.0,0,0.16097291713750056,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:22:00,32.6,3.66,189.15,0,0,NORMAL,40.83,4.14,166.23999999999998,1.0,6.646480271542159,0.9863315872463998,29.688619031541634,-12.199999999999996,-1.87,52.08000000000001,-2.0,44.8,47.3,5.53,3.67,137.07,164.52,2.0,1.0,0,0.14040839285111661,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:23:00,44.47,4.11,184.58,1,0,NORMAL,42.768,4.346,175.614,1.2,5.800230167846755,0.7994560650842574,25.537676675845383,11.869999999999996,0.4500000000000002,-4.569999999999993,1.0,32.6,44.8,3.66,5.53,189.15,137.07,0.0,2.0,0,0.15876105531087858,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:24:00,37.17,4.93,321.34,0,0,NORMAL,41.268,4.38,199.332,0.8,6.144930430851046,0.8246817568007702,71.23145141017427,-7.299999999999997,0.8199999999999994,136.75999999999996,-1.0,44.47,32.6,4.11,3.66,184.58,189.15,1.0,0.0,0,0.15832843655072543,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:25:00,49.02,5.2,221.65,5,0,NORMAL,41.612,4.686,210.758,1.6,6.598436936123534,0.7779010219815939,68.79158575000304,11.85,0.2700000000000004,-99.68999999999996,5.0,37.17,44.47,4.93,4.11,321.34,184.58,0.0,1.0,0,0.13925371193585312,0.004,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:26:00,47.2,5.24,131.12,0,0,NORMAL,42.092,4.628,209.568,1.2,6.965412407029426,0.7068026598704957,70.41721785188635,-1.8200000000000005,0.04,-90.53,-5.0,49.02,37.17,5.2,4.93,221.65,321.34,5.0,0.0,0,0.1297596078150518,0.008,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:27:00,39.36,4.73,171.76,0,0,NORMAL,43.444,4.8420000000000005,206.09,1.2,5.057027783194375,0.4589880172727933,72.08745730014356,-7.840000000000003,-0.5099999999999998,40.63999999999999,0.0,47.2,49.02,5.24,5.2,131.12,221.65,0.0,5.0,0,0.15043668312758318,0.012,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 07:28:00,41.92,4.61,251.07,1,0,NORMAL,42.934000000000005,4.942,219.388,1.2,5.056271353477747,0.278693379899866,73.25084006344244,2.5600000000000023,-0.1200000000000001,79.31,1.0,39.36,47.2,4.73,5.24,171.76,131.12,0.0,0.0,0,0.16057157286070578,0.004,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
